nid,label
118676,10
118677,28
118678,32
118679,16
118680,10
118681,32
118683,24
118684,16
118685,6
118686,24
118687,28
118688,27
118691,24
724,5
725,24
726,16
118692,19
728,28
118693,18
730,3
731,28
118694,16
733,16
734,31
735,16
736,16
737,28
118698,16
739,28
740,16
741,24
742,20
743,28
744,24
745,10
746,5
118706,8
118709,16
749,31
118711,28
751,16
752,34
118714,24
118715,28
754,20
755,28
118716,25
756,24
118718,8
758,2
118719,5
759,4
760,24
761,16
762,28
763,28
764,27
765,6
118725,34
766,28
767,26
768,2
769,34
770,6
771,9
772,19
118730,9
773,8
118733,28
775,1
776,28
118735,28
778,32
779,18
780,8
781,10
782,34
118741,5
784,26
118742,26
786,7
787,24
788,24
118746,28
118747,5
791,10
118749,10
793,32
794,11
118752,24
796,4
797,28
798,28
799,22
800,26
118758,32
802,8
803,16
804,27
805,28
806,16
807,16
808,31
809,5
118766,28
118767,16
812,33
118768,2
814,34
815,2
816,16
817,28
818,16
118774,26
118775,27
821,16
822,8
118778,16
824,10
825,28
118780,16
827,2
828,28
829,9
830,19
831,27
832,34
833,16
118787,24
835,28
836,4
837,26
838,23
118792,24
840,2
841,8
842,28
843,10
844,16
845,28
846,24
847,2
848,16
118802,24
118804,16
118805,24
851,27
852,10
853,16
854,24
855,16
118809,16
856,4
857,16
858,23
859,31
860,16
861,28
862,5
863,24
864,7
865,8
866,28
867,28
868,24
869,32
870,24
871,24
872,2
118824,24
874,24
875,16
118827,24
876,9
877,5
878,24
879,23
118833,4
880,16
881,24
882,16
883,5
884,16
118836,10
118838,27
118839,28
118841,24
888,16
118843,10
889,28
890,10
118844,8
892,16
893,24
894,16
895,16
118847,33
897,16
898,20
899,16
118850,24
901,24
118852,24
903,4
904,24
118855,6
906,9
118856,10
907,6
908,4
909,16
118860,24
118861,24
118862,16
911,10
912,24
913,10
914,10
118866,24
118867,28
917,28
918,24
919,6
920,24
921,5
118871,28
923,24
924,24
925,2
118874,8
118875,3
927,24
118877,16
929,6
930,16
931,24
932,27
933,16
934,16
935,8
937,24
939,10
940,24
943,24
946,31
947,24
950,16
951,24
952,28
954,16
955,33
956,16
957,24
958,16
960,16
961,24
962,16
963,16
964,5
965,28
966,24
967,16
968,27
969,16
970,16
972,16
974,24
977,16
978,24
979,34
980,8
981,24
982,5
983,2
984,9
986,16
988,27
1004,31
1005,11
1009,2
1010,16
118971,16
119112,8
119113,10
119114,26
119115,32
119116,23
119117,28
119118,33
119119,16
119120,24
119121,9
119122,10
119123,16
119124,16
119125,16
119126,3
119127,10
119128,22
119129,10
119130,28
119131,28
119132,32
119133,4
119134,31
119136,16
119137,22
119138,10
119139,28
119140,28
119141,31
119142,16
119143,32
119144,8
119145,10
119146,23
119147,24
119148,28
119149,19
119150,31
119151,28
119152,5
119153,10
119154,8
119155,28
119156,4
119157,16
119158,10
119159,10
119160,31
119161,31
119162,28
119163,16
119164,23
1194,10
119165,31
119166,4
119167,8
119168,16
1199,16
1200,4
1201,4
1202,28
1203,4
1204,24
1205,10
1206,10
1207,5
1208,4
1209,26
1210,27
1211,10
119172,28
1212,24
1213,32
1214,26
1215,33
1216,5
1217,9
1218,24
119178,24
1219,22
1220,9
119181,5
1221,26
1222,4
1223,16
1224,29
1225,15
1226,28
1227,10
119188,24
1228,8
119190,26
1229,32
1230,9
1231,13
1232,28
1233,20
119196,33
1234,31
1235,16
1236,16
1237,7
1238,9
1239,28
1240,3
1241,28
1242,4
1243,24
1244,5
1245,32
1246,23
1247,28
1248,28
1249,5
1250,26
1251,8
119215,24
1252,32
1253,9
119218,24
1254,16
119220,22
1255,28
1256,33
1257,4
119224,28
1258,28
119226,28
1259,28
1260,29
1261,16
1262,24
1263,25
1264,10
1265,16
1266,28
1267,16
1268,24
1269,30
1270,31
1271,24
1272,16
1273,21
1274,15
119243,6
1275,27
1276,24
1277,8
1278,4
1279,16
1280,16
1281,5
119250,31
1282,6
1283,6
1284,24
1285,28
1286,19
1287,31
1288,8
1289,28
1290,25
1291,16
1292,0
1293,19
119262,28
1294,28
1295,6
1296,31
1297,8
1298,28
1299,4
1300,24
1301,22
1302,28
1303,28
1304,16
1305,27
1306,28
1307,23
1308,3
1309,24
1310,28
1311,16
1312,19
1313,13
1314,28
1315,25
1316,28
1317,26
119285,16
1318,28
1319,27
1320,19
1321,16
1322,20
1323,25
1324,16
119291,24
1325,3
1326,16
119294,24
1327,16
1328,16
1329,28
1330,10
1331,13
1332,16
1333,10
1334,26
1335,28
1336,8
1337,16
1338,10
1339,25
1340,27
1341,24
1342,16
1343,16
1344,24
1345,28
1346,16
1347,16
1348,16
119317,16
1349,7
1350,4
1351,16
1352,22
1353,24
1354,28
1355,10
1356,10
1357,16
1358,16
1359,4
1360,29
1361,28
1362,24
1363,24
1364,31
119333,24
1365,8
1366,26
1367,16
1368,26
1369,13
119339,4
1370,26
1371,25
1372,8
1373,24
119342,16
1374,25
1375,24
1376,16
1377,8
1378,24
1379,16
1380,16
1381,10
1382,16
1383,24
1384,24
1385,28
1386,2
1387,16
1388,34
1389,22
1390,16
1391,24
119360,3
1393,24
1394,28
1395,28
1396,28
1397,4
1398,16
1399,16
1400,28
1401,28
1402,28
1403,8
1404,10
1405,28
1406,5
1407,2
1408,16
1409,16
1410,31
1411,9
1412,24
1413,24
1414,16
1415,24
1416,27
1417,4
1418,18
1419,8
1420,24
1421,27
1422,28
1423,24
1424,20
1425,16
1426,28
1427,16
1428,24
119394,16
1429,10
1430,5
1431,28
1432,10
1433,31
1434,33
1435,16
119402,24
1437,26
1438,28
1439,18
1440,27
1441,27
1442,8
119409,28
1443,24
1444,16
1445,27
1446,5
1447,16
1448,16
1449,26
1450,16
1451,24
1452,28
1453,27
1454,5
1455,2
1456,31
119422,3
1457,16
1458,24
1459,13
1460,8
1461,16
1462,22
1463,4
1464,2
1465,16
1466,16
1467,16
1468,3
1469,8
119436,9
1470,5
1471,24
1472,16
1473,9
1474,25
1475,10
1476,1
1477,27
1478,13
1479,28
1480,16
1481,24
1482,16
1483,10
1484,16
1485,5
1486,4
1487,24
119454,31
1488,23
1489,32
1490,24
1491,6
1492,24
1493,8
1494,10
1495,23
1496,23
1497,2
1498,16
1499,16
1500,32
119467,10
1501,24
1502,11
1503,24
1504,16
1505,16
1506,31
1507,24
1508,16
1509,4
1510,24
1511,24
1512,18
1513,16
1514,16
1515,24
1516,19
1517,24
1518,24
118165,28
1519,8
1520,10
1521,2
1522,16
1523,16
1524,22
1525,10
1526,4
1527,16
1528,3
1529,16
1530,10
1531,4
1532,16
1533,16
1534,24
119498,26
1536,16
1537,26
1538,16
1539,8
1540,20
1541,16
1542,24
1543,16
1544,32
1545,24
1546,5
119507,28
1548,16
1549,16
1550,24
1551,16
1552,16
1553,16
1554,16
1555,8
1556,8
119516,23
1558,16
1559,5
1560,28
1561,32
1562,4
1563,26
1564,31
1565,9
1566,24
1567,5
1568,10
1569,31
1570,1
1571,27
119528,31
1572,26
1573,27
1574,16
1575,16
1576,16
119534,2
1577,16
1578,16
1579,27
1580,8
1581,31
1582,19
119540,26
1583,24
1584,16
119543,22
119550,28
1586,34
1587,16
1588,24
1589,16
1590,24
1591,24
1592,29
1593,16
1594,24
1595,24
1596,16
1597,16
119560,10
1599,16
1600,8
1601,24
1602,4
1603,24
1604,5
1605,24
1606,24
1609,22
1610,31
1611,8
1612,16
1613,24
1614,4
119580,28
1616,10
1617,28
1618,16
1619,31
1620,22
1621,10
1622,24
1623,24
1624,16
119581,24
1626,24
1627,24
1628,16
1629,19
1630,4
1631,24
1635,24
1650,24
1652,2
119615,16
1691,8
1728,16
1740,4
119820,24
119821,28
119822,28
119823,27
119824,16
119826,16
119827,16
119828,16
119829,24
119830,24
119831,22
119832,28
119835,24
119836,9
119837,16
119838,24
119840,1
119841,5
119842,16
119843,16
119846,8
119847,10
119848,24
119849,16
119850,2
119851,16
119852,16
119853,11
119854,28
119855,24
119856,16
119858,27
119859,28
119860,24
119862,9
119863,16
119864,16
119865,24
119866,16
119868,5
119870,28
1918,24
1919,28
1920,31
1921,15
119871,16
1923,24
1924,28
119872,16
1926,16
1927,24
1928,3
119873,23
119875,13
1931,16
119876,22
119877,24
1934,24
1935,26
1936,24
1937,27
1938,27
1939,24
1940,1
1941,16
1942,24
1943,5
119886,16
119887,16
1945,16
1946,5
1947,13
1948,28
119890,16
1949,23
1950,27
1951,16
1952,28
1953,27
1954,4
1955,16
1956,16
1957,27
119900,32
119901,10
119902,16
119903,2
1961,24
1962,16
1963,16
1964,27
1965,16
1966,24
119909,4
119911,16
1969,16
1970,16
1971,28
119914,24
1973,2
119917,16
1975,24
119919,4
119920,24
1977,16
1978,16
119923,24
119924,24
1980,16
1981,28
119926,27
1982,8
119929,4
1984,25
119930,4
119931,34
1987,16
1988,8
1989,8
1990,23
119935,18
1992,7
1993,25
1994,28
1995,4
1996,16
1997,27
1998,19
1999,24
119942,16
119944,16
2002,24
2003,16
2004,24
2005,24
2006,31
119948,10
119949,24
119950,16
119953,32
2008,26
2009,16
2010,24
2011,28
2012,16
2013,28
119958,24
119960,27
2016,4
2017,5
2018,26
119963,22
2020,22
2021,28
2022,24
2023,18
2024,24
2025,18
2026,16
119970,2
2028,6
2029,22
2030,16
2031,13
119974,24
2032,4
2033,16
2034,4
2035,24
2036,27
2037,11
119980,24
119981,10
119982,24
2040,16
2041,4
119983,31
2043,16
119985,4
2045,29
2046,16
2047,2
119989,13
119990,16
2049,16
2050,16
119994,27
119995,4
2052,3
2053,4
119998,24
120000,13
2055,27
120001,4
120005,24
2057,20
2058,10
2059,31
2060,14
2061,28
2062,5
2063,19
2064,27
120009,28
120011,16
2067,24
120012,24
2069,10
2070,22
2071,28
2072,4
2073,16
2074,9
2075,2
2076,28
2077,24
2078,28
2079,26
2080,22
120022,6
2082,21
120023,28
120025,16
120026,29
2086,28
2087,9
120028,2
2089,10
2090,10
2091,10
2092,24
120032,28
120033,28
2094,28
2095,27
2096,10
2097,2
2098,4
2099,2
2100,13
2101,3
120040,28
120041,24
2104,4
120044,13
2105,26
120046,28
2107,5
120047,23
120048,24
2109,23
2110,16
2111,5
120052,10
2112,20
2113,28
2114,5
2115,28
2116,9
2117,34
2118,4
2119,2
2120,10
2121,10
2122,2
2123,3
2124,16
2125,28
2126,28
2127,24
2128,28
2129,33
2130,24
120076,4
120077,20
2132,5
2133,24
2134,2
2136,16
2137,16
2138,31
2139,28
2140,28
2141,24
2144,32
2145,16
2146,8
2147,28
2151,11
2152,28
2153,28
2154,16
2155,9
2156,28
2158,9
2159,28
2162,2
2181,8
2182,22
2183,28
2246,28
120273,27
120274,27
120275,2
120276,31
120277,16
120278,10
120279,31
120280,16
120281,26
120282,13
120283,24
120284,10
120285,24
120286,10
120287,23
120288,8
120289,16
120290,27
120291,25
120292,8
120293,24
120294,4
120295,10
120296,19
120297,24
120298,24
120299,23
120300,16
120301,6
120302,3
120303,4
120304,27
120305,24
120306,26
120307,16
120308,28
120309,15
120310,4
120311,16
120312,16
120313,24
120314,25
120315,24
120316,24
120317,25
120318,3
120319,27
120320,24
120321,16
120322,24
120323,27
120324,24
120325,31
120326,16
120327,3
120328,16
120329,10
120330,31
120331,24
120332,28
2389,16
120333,16
2390,28
120334,24
2392,4
2393,26
2394,16
2395,24
2396,8
2397,17
2398,28
120335,24
2399,19
2400,10
2401,13
2402,23
2403,16
2404,16
2405,19
2406,28
2407,16
2408,23
2409,4
2410,24
2411,28
2412,31
2413,25
2414,16
2415,24
2416,24
2417,20
2418,28
2419,8
2420,6
2421,24
2422,16
2423,28
2424,19
2425,24
2426,24
120360,5
120361,27
2427,22
120363,24
2428,8
2429,24
2430,2
120367,24
120368,16
120369,27
2431,8
2432,28
2433,23
2434,16
2435,27
2436,16
2437,28
2438,10
2439,10
2440,5
2441,16
2442,8
120381,17
2443,24
2444,13
2445,23
2446,9
2447,33
2448,28
2449,25
2450,27
2451,10
2452,27
2453,23
2454,19
2455,28
2456,16
2457,20
120396,3
2458,31
2459,24
2460,24
2461,16
2462,16
2463,28
2464,27
2465,4
2466,28
2467,34
2468,3
2469,0
2470,16
2471,16
2472,4
2473,28
2474,16
2475,16
2476,23
2477,16
2478,24
2479,16
2480,16
2481,2
2482,28
2483,1
2484,2
2485,24
120424,5
2486,26
2487,16
2488,15
2489,19
2490,8
2491,2
2492,3
2493,31
2494,5
2495,26
2496,34
2497,2
2498,25
2499,28
2500,28
2501,28
2502,15
120441,32
120442,31
2503,16
2504,24
2505,16
2506,24
2507,16
2508,26
2509,10
2510,22
2511,16
2512,6
2513,26
2514,23
2515,24
2516,16
2517,10
2518,32
2519,16
2520,16
2521,24
2522,10
2523,16
2524,16
2525,8
2526,14
120466,31
120467,28
2527,4
120469,10
2528,28
2529,16
2530,16
2531,16
2532,10
2533,20
2534,16
2535,27
2536,26
120479,28
2537,28
2538,19
120482,28
2539,25
2540,10
2541,16
2542,10
2543,16
120488,24
2544,4
2545,24
2546,16
2547,31
2548,27
2549,9
2550,28
2551,8
2552,24
120496,4
2553,25
2554,24
2555,25
2556,16
2557,24
2558,16
120501,28
2559,24
2560,16
2561,24
2562,31
120506,28
2563,16
120508,2
2564,16
2565,3
2566,16
2567,10
2568,10
2569,24
2570,19
2571,16
2572,16
2573,16
2574,24
120518,24
2575,8
2576,16
2577,16
120520,3
2578,13
120521,28
2579,24
2580,16
2581,10
2582,19
2583,16
2584,16
2585,28
2586,16
2587,24
2588,24
2589,16
2590,13
2591,16
2592,28
120536,28
2593,24
2594,24
2595,24
120540,28
2596,24
2597,16
2598,4
2599,24
2600,33
2601,16
120546,13
2602,16
2603,6
2604,19
120550,8
2605,26
2606,9
2607,24
120554,5
2608,16
2609,23
2610,16
2611,16
2612,16
2613,3
2614,28
120561,3
2615,8
120563,19
2616,16
2617,16
2618,28
2619,24
120568,28
2620,27
2621,5
120571,26
120572,5
120573,4
2622,16
2623,16
120576,28
120577,2
2625,16
2626,16
120579,24
2627,24
2628,13
2629,24
2630,16
2631,16
2632,24
2633,24
2634,29
2635,32
2636,4
2637,24
120591,24
2638,24
2639,16
2640,26
2641,24
2642,24
2643,16
2644,16
2645,13
2646,23
2647,16
2648,24
2649,5
2650,24
2651,5
2652,27
2653,24
2654,24
2655,16
120607,16
2656,4
120609,16
120610,10
2657,16
2658,28
2659,10
2660,32
2661,16
2662,24
2663,0
2664,28
2665,20
2666,5
2667,34
2668,10
120621,16
2670,28
2671,10
2672,19
2673,16
2674,1
2675,27
2676,27
2677,2
2678,2
120631,2
2679,8
2680,24
2681,27
2682,5
2683,28
2684,16
2685,5
2686,28
2687,28
2688,4
2689,19
2690,28
2691,28
2692,28
120643,16
120644,28
2695,24
2696,5
2697,10
2698,16
2699,10
120649,24
2701,16
2702,8
2703,28
2704,16
2705,16
120655,16
2706,24
2707,16
2708,8
2709,16
2710,28
2711,5
2712,34
2713,34
2714,28
2715,16
120665,5
2716,28
120667,8
2717,10
2718,28
2719,26
2720,2
2721,8
2722,16
2723,2
2724,28
2725,32
2726,27
2727,13
2728,2
120679,27
2730,16
120681,16
2731,9
2732,10
2733,8
2734,24
120685,28
2735,28
120687,16
2737,28
120690,22
2739,16
2740,16
2741,10
2742,24
2743,16
2744,28
2745,28
2746,10
2747,33
2748,19
2749,28
2750,16
120701,28
2751,28
2752,27
2753,28
2754,28
2755,28
2756,16
2757,16
2758,28
2759,24
2760,28
2761,24
2762,24
2763,31
2764,10
2765,4
2766,20
2767,16
2768,32
2769,32
2770,6
2771,24
120721,8
2772,31
2773,8
120724,8
2774,31
2775,28
2776,24
2777,28
2778,13
2779,28
2780,23
2781,2
2782,16
120734,23
2784,28
2785,25
2786,24
2787,26
2788,16
120739,9
2789,4
2790,16
2791,16
2792,28
2793,19
2794,31
120748,2
2795,16
2796,25
2797,16
2799,16
2802,20
120825,24
2858,3
2887,24
2895,16
120929,24
121036,8
3058,31
121038,2
121039,28
121040,22
3061,28
3062,24
3063,24
3064,28
3065,22
121043,16
3067,10
121045,24
3069,5
3070,28
3071,2
3072,16
3073,10
121047,32
121049,26
3074,23
3075,3
3076,34
3077,24
121051,24
3079,4
3080,20
3081,28
3082,5
118178,24
3084,3
3085,16
121058,15
3087,5
3088,23
3089,34
3090,2
3091,31
3092,24
3093,26
121064,24
3095,9
121066,23
3096,2
3097,19
3098,28
3099,9
121071,25
3101,9
3102,16
3103,23
121074,8
121075,8
121076,28
121077,16
121078,34
3108,28
3109,24
3110,2
3111,24
3112,28
3113,26
3114,26
3115,2
3116,2
3117,8
121088,28
3118,28
3119,23
3120,28
3121,28
3122,16
121093,10
121095,5
3124,20
3125,28
121096,31
3126,13
3127,20
121099,16
3129,28
3130,26
3131,28
121103,28
3133,28
121105,16
3134,27
121107,2
3135,4
121109,16
3137,24
121110,23
3139,28
3140,5
3141,21
3142,28
3143,28
3144,4
121116,1
3146,5
121118,13
3148,2
3149,33
3150,31
3151,28
3152,16
3153,2
121125,34
3155,8
121128,24
3157,24
121129,26
3159,31
121130,31
3161,24
3162,23
3163,28
3164,28
121135,28
3166,16
3167,3
3168,9
121140,32
121141,28
3170,28
3171,22
3172,11
3173,21
3174,28
3175,28
121146,13
121147,24
3176,28
121149,24
121150,2
3179,28
3180,28
3181,8
3182,28
3183,19
3184,28
3185,28
121154,32
3187,9
3188,28
3189,24
3190,24
121158,6
3192,16
3193,8
3194,4
121162,28
121164,28
3197,2
3198,28
3199,10
121166,16
3201,8
3202,28
3203,16
3204,28
121169,10
3206,19
3207,28
3208,14
3209,5
3210,28
3211,28
3212,24
3213,8
3214,28
3215,22
121180,4
3216,16
3217,2
121183,16
121184,28
3220,11
3221,5
3222,16
121185,28
3223,24
3224,8
3225,22
3226,4
3227,10
121187,8
121188,2
3230,4
121190,10
3232,9
121193,16
3233,28
121195,28
121196,20
3236,14
3237,10
3238,28
3239,28
3240,22
121200,32
121201,28
3242,28
3243,28
3244,16
3245,5
3246,16
3247,24
3248,2
3249,8
121210,18
3250,28
3251,34
3252,24
3253,16
3254,16
3255,8
3256,34
3257,8
3258,24
121220,16
3259,22
3260,8
3261,16
3262,32
3263,14
3264,14
3265,5
3266,28
3267,16
3268,8
3269,16
121231,4
3271,34
3272,10
3273,28
3274,28
3275,28
3276,24
3277,32
3278,27
3279,9
3280,27
121241,32
3282,28
3283,24
3284,8
121245,31
3285,3
3286,24
3287,8
3288,23
3289,16
121256,13
121257,15
3292,31
121268,28
121275,8
3311,26
121304,5
121397,16
3433,26
3434,13
3440,26
3509,16
3510,22
3511,16
3512,28
3513,23
3514,22
3515,4
3516,16
3517,28
3518,27
3519,24
3520,10
3521,16
3522,13
3523,31
3524,8
3525,4
121486,16
3526,23
3527,16
3528,4
3529,10
3530,16
3531,10
3532,28
121492,10
3533,16
3534,10
3535,24
3536,10
3537,28
3538,19
3539,24
3540,24
3541,16
3542,16
3543,5
3544,4
3545,27
3546,16
3547,16
121506,33
3548,16
3549,16
3550,13
3551,24
3552,16
3553,24
3554,16
121513,28
3555,8
3556,24
3557,1
3558,34
3559,16
3560,6
3561,24
3562,16
3563,24
3564,16
3565,16
3566,16
3567,32
3568,27
3569,16
3570,24
3571,16
3572,16
121531,28
3573,28
3574,16
3575,16
3576,24
3577,4
3578,16
3579,10
3580,16
3581,34
3582,6
3583,10
121543,3
3584,16
3585,16
3586,10
3587,21
3588,16
3589,16
3590,27
3591,9
3592,8
3593,27
3594,24
3595,24
3596,4
3597,8
3598,16
3599,16
3600,16
3601,16
3602,23
3603,16
3604,4
3605,27
3606,28
3607,8
3608,27
3609,24
3610,16
3611,9
3612,2
121570,4
121571,8
3613,27
3614,28
121574,13
3615,24
121576,3
3616,32
3617,16
3618,24
3619,10
3620,16
3621,24
3622,16
3623,24
3624,16
3625,19
121585,16
121586,24
3626,31
121588,28
121589,5
3627,16
3628,27
3629,16
121593,26
3630,13
3631,28
3632,24
121597,28
3633,23
3634,16
3635,8
121601,28
3636,24
3637,27
3638,24
3639,8
3640,26
3641,24
3642,16
3643,11
3644,19
3645,16
3646,24
3647,32
3648,24
121612,26
3649,16
3650,16
3651,16
3652,24
3653,24
3654,19
3655,24
3656,16
3657,24
3658,28
121622,24
3659,33
3660,9
3661,28
3662,2
3663,20
121627,26
3664,7
3665,24
3666,2
3667,32
3668,28
121633,10
3669,32
3670,28
3671,33
3672,5
3673,4
3674,10
121640,28
3675,24
3676,19
3677,28
3678,7
3679,32
3680,11
121646,16
3681,16
3682,26
3683,16
3684,28
3685,28
121652,8
3686,16
3687,28
3688,33
3689,3
3690,10
3691,28
3692,9
3693,31
3694,10
3695,28
3696,10
3697,22
3698,4
3699,16
3700,24
3701,23
3702,2
117967,20
3703,16
3704,10
3705,16
3706,26
3707,5
3708,23
3709,28
3710,28
3711,5
3712,28
3713,28
3714,28
3715,4
121681,28
117969,2
3716,32
121684,28
121685,2
3718,26
3719,18
3720,28
3721,10
3722,16
3723,31
3724,34
3725,31
3726,32
3727,27
3728,24
3729,24
3730,16
3731,26
3732,27
3733,16
3734,28
3735,19
3736,23
3737,28
3738,10
3739,3
3740,24
117972,16
3741,8
3742,28
3743,26
3744,23
3745,32
3746,16
3747,24
117973,28
3748,31
3749,31
3750,16
3751,28
3752,31
117974,16
3753,10
117975,28
3754,33
3755,28
3756,28
3757,16
3758,15
3759,10
3760,24
3761,18
3762,24
3763,28
3764,5
3765,24
117977,33
3766,10
3767,17
3768,28
3769,32
3770,2
3771,13
3772,6
3773,10
3774,26
3775,14
3776,16
3777,4
3778,20
3779,16
3780,24
3781,28
3782,25
3783,5
117980,33
3785,16
3786,16
3787,28
3788,10
3789,4
3790,31
3791,16
3792,2
3793,28
3794,28
3795,5
3796,24
3797,27
3798,5
117983,32
3799,4
3800,10
117984,4
3802,28
3803,8
3804,10
3805,28
3806,20
117985,16
3807,10
3808,1
3809,4
3810,16
3811,19
3812,28
3813,23
3814,28
3815,24
3816,8
3817,16
3818,20
3819,2
3820,16
3821,10
117988,28
117989,8
3822,32
3823,28
121793,28
3824,16
3825,24
3826,31
3827,28
3828,2
3829,28
3830,16
3831,20
117990,28
3833,4
3834,2
3835,26
117991,24
3836,32
3837,34
3838,5
3839,10
117992,4
3840,28
3841,16
3842,4
3843,4
3844,24
3845,16
3846,19
3847,10
3848,24
3849,24
3850,28
3851,28
3852,22
3853,4
3854,16
3855,8
117994,28
3857,16
3858,16
3859,6
3860,16
3861,16
3862,5
3863,24
3864,16
3865,17
3866,16
117996,19
117997,8
3869,5
3870,28
117998,5
3872,6
3873,27
3874,16
3875,16
3876,24
3877,16
121844,25
121845,27
3879,22
121846,24
3880,4
3881,16
3882,16
3883,4
118000,16
3884,16
3885,18
3886,24
3887,16
3888,23
3889,5
118001,27
3890,24
121860,16
3891,24
3892,27
118002,28
121864,16
3893,2
3894,24
3895,16
3896,28
3897,16
3898,16
3899,24
118003,16
3900,24
118004,15
3901,6
3902,24
3903,16
3904,24
3905,16
121877,4
3906,16
3907,5
3908,28
3909,28
3910,24
3911,13
3912,24
3913,27
3914,24
3915,16
118005,8
121888,16
121889,16
3917,24
3918,4
3919,24
3920,24
3921,24
118007,24
3923,24
3924,13
3925,2
3926,24
3927,4
3928,24
3929,16
118008,9
3931,16
3932,24
3933,16
3934,24
3935,24
3936,24
